text,priority
Complaint: water stain on the ceiling in the unit 12.,MEDIUM
We have a problem: no electricity in the block B.,HIGH
We have a problem: ceiling collapse near the entrance.,EMERGENCY
Need help with mold on the wall in the unit.,MEDIUM
There is an issue with flickering light in the store room.,MEDIUM
Need help with broken door in the store room.,HIGH
Please attend to flickering light in the laundry room.,MEDIUM
Tenant reports electrical wires exposed on the third floor.,HIGH
Need help with severe leak near the entrance.,HIGH
Need help with cosmetic touch up on the third floor.,LOW
We have a problem: dripping tap on the third floor.,MEDIUM
We have a problem: flooding in on the third floor.,EMERGENCY
Tenant reports carbon monoxide detector going off in the block B.,EMERGENCY
Please attend to small leak in the unit 12.,MEDIUM
Please attend to broken window on the third floor.,HIGH
We have a problem: not heating by the stairs.,MEDIUM
Please attend to damaged on the third floor.,MEDIUM
There is an issue with minor cosmetic issue in the unit 8.,LOW
There is an issue with no water in in the unit.,HIGH
Tenant reports routine check in the living room.,LOW
There is an issue with light not working in the unit.,MEDIUM
Need help with slow drain in the unit 12.,MEDIUM
Please attend to slow drain on the third floor.,MEDIUM
Complaint: inventory check in the garage.,LOW
Please attend to fridge broke down near the entrance.,HIGH
Reporting routine tune up from in the store room.,LOW
There is the ceiling is caving in in the bathroom.,EMERGENCY
Please attend to heavy leak on the third floor.,HIGH
There is tiny crack in the paint in the garage.,LOW
Tenant reports annual inspection in the unit.,LOW
There is an issue with shock from the outlet in the store room.,HIGH
Complaint: broken window in the bathroom.,HIGH
Noticed water stain on the ceiling in the bathroom.,MEDIUM
Reporting not cooling from near the entrance.,MEDIUM
Reporting severe leak from near the entrance.,HIGH
tiny crack in the paint has been going on in the hallway.,LOW
We have a problem: live wire in the unit.,EMERGENCY
Complaint: flickering light on the third floor.,MEDIUM
Tenant reports dripping tap in the unit 8.,MEDIUM
Tenant reports annual inspection in the laundry room.,LOW
Tenant reports dangerous in the bedroom.,HIGH
Reporting booking an appointment from by the stairs.,LOW
Please attend to flickering light on the third floor.,MEDIUM
Please attend to structural collapse by the stairs.,EMERGENCY
Please attend to paint peeling in the unit.,LOW
Please attend to flooding in near the entrance.,EMERGENCY
leaking ceiling has been going on in the hallway.,HIGH
intruder in the building has been going on on the third floor.,HIGH
Reporting minor cosmetic issue from near the entrance.,LOW
There is flickering light in the hallway.,MEDIUM
Noticed booking an appointment in the store room.,LOW
leak under the sink has been going on in the apartment 5.,MEDIUM
Reporting water shut off from in the apartment 5.,HIGH
There is an issue with sewage overflowing in the unit.,EMERGENCY
Reporting flooding in from by the stairs.,EMERGENCY
There is an issue with major leak in the block B.,HIGH
There is an issue with maintenance required on the third floor.,MEDIUM
Noticed thermostat not working in the unit 8.,MEDIUM
There is collapsing wall on the third floor.,EMERGENCY
We have a problem: general enquiry in the unit 8.,LOW
There is broken lock in the kitchen.,HIGH
There is power outage in the balcony.,HIGH
There is collapsing wall near the entrance.,EMERGENCY
Tenant reports major leak in the unit.,HIGH
Reporting general enquiry from in the apartment 5.,LOW
Noticed scheduled maintenance in the block A.,LOW
Reporting electrical wires exposed from on the third floor.,HIGH
There is preventative maintenance in the unit.,LOW
We have a problem: leak under the sink in the store room.,MEDIUM
Please attend to cosmetic touch up on the third floor.,LOW
Noticed cosmetic touch up in the block A.,LOW
There is an issue with minor cosmetic issue in the block A.,LOW
Tenant reports not working in the unit 12.,MEDIUM
flooding in has been going on in the laundry room.,EMERGENCY
Need help with booking an appointment in the apartment 5.,LOW
Noticed light not working in the balcony.,MEDIUM
Reporting electrical hazard from in the garage.,HIGH
There is small leak near the entrance.,MEDIUM
noisy unit has been going on by the stairs.,MEDIUM
Reporting seeking a quote from by the stairs.,LOW
Need help with major leak on the third floor.,HIGH
Tenant reports flickering light in the balcony.,MEDIUM
There is an issue with light not working in the kitchen.,MEDIUM
Reporting broken lock from in the kitchen.,HIGH
There is general enquiry in the garage.,LOW
Need help with the ceiling is leaking in the unit.,HIGH
There is an issue with cracked tile in the unit.,MEDIUM
We have a problem: live wire in the block A.,EMERGENCY
Complaint: paint peeling in the balcony.,LOW
Please attend to paint peeling in the unit.,LOW
Reporting broken door from on the third floor.,HIGH
Please attend to damaged near the entrance.,MEDIUM
crack in the wall has been going on on the third floor.,MEDIUM
Complaint: preventative maintenance near the entrance.,LOW
Noticed water damage to the ceiling in the unit 12.,HIGH
Complaint: not working in the kitchen.,MEDIUM
There is burning smell near the entrance.,EMERGENCY
Need help with dripping tap in the apartment 5.,MEDIUM
Please attend to live wire near the entrance.,EMERGENCY
There is an issue with routine tune up in the laundry room.,LOW
We have a problem: dangerous on the third floor.,HIGH
Please attend to small leak in the unit 8.,MEDIUM
Please attend to fridge broke down near the entrance.,HIGH
We have a problem: no power in the block B.,HIGH
Please attend to clogged drain in the balcony.,MEDIUM
There is an issue with mold on the wall in the unit.,MEDIUM
Please attend to flooding in on the third floor.,EMERGENCY
Need help with minor cosmetic issue in the unit.,LOW
We have a problem: tiny crack in the paint on the third floor.,LOW
We have a problem: raw sewage in the bathroom.,EMERGENCY
Reporting toilet clogged from in the unit 8.,MEDIUM
Complaint: broken lock in the garage.,HIGH
We have a problem: water damage to the ceiling on the third floor.,HIGH
Tenant reports noisy unit on the third floor.,MEDIUM
There is an issue with annual inspection in the unit 8.,LOW
Need help with thermostat not working in the store room.,MEDIUM
the unit is burning has been going on by the stairs.,EMERGENCY
There is an issue with live wire on the third floor.,EMERGENCY
light not working has been going on in the block A.,MEDIUM
Need help with not heating in the unit 12.,MEDIUM
booking an appointment has been going on by the stairs.,LOW
Reporting gas smell from in the unit.,EMERGENCY
Tenant reports structural collapse in the unit.,EMERGENCY
Tenant reports intruder in the building near the entrance.,HIGH
There is maintenance required on the third floor.,MEDIUM
Complaint: clogged drain on the third floor.,MEDIUM
Noticed dripping tap in the hallway.,MEDIUM
Noticed damaged in the garage.,MEDIUM
Complaint: sparking wires in the unit.,EMERGENCY
Complaint: faulty wiring causing sparks in the kitchen.,EMERGENCY
Noticed annual inspection in the balcony.,LOW
We have a problem: crack in the wall near the entrance.,MEDIUM
We have a problem: sewage overflowing on the third floor.,EMERGENCY
Tenant reports booking an appointment by the stairs.,LOW
Complaint: no power in the unit.,HIGH
There is tiny crack in the paint in the unit.,LOW
Need help with carbon monoxide detector going off in the store room.,EMERGENCY
Need help with routine tune up in the living room.,LOW
paint peeling has been going on in the block A.,LOW
Noticed tiny crack in the paint in the bedroom.,LOW
mold on the wall has been going on in the unit.,MEDIUM
Noticed electrical fire in the bedroom.,EMERGENCY
We have a problem: sewage overflowing near the entrance.,EMERGENCY
We have a problem: fridge broke down in the block B.,HIGH
Please attend to flooding in in the unit.,EMERGENCY
Reporting slow drain from near the entrance.,MEDIUM
sparks flying has been going on near the entrance.,EMERGENCY
Complaint: the wall is collapsing in the block B.,EMERGENCY
Noticed seeking a quote in the unit 12.,LOW
Reporting intruder in the building from by the stairs.,HIGH
Reporting sewer backing up into from on the third floor.,EMERGENCY
electrical wires exposed has been going on on the third floor.,HIGH
Noticed no electricity in the lobby.,HIGH
tiny crack in the paint has been going on near the entrance.,LOW
inefficient heating has been going on on the third floor.,MEDIUM
not heating has been going on in the store room.,MEDIUM
We have a problem: sparking wires by the stairs.,EMERGENCY
Tenant reports electrical hazard in the garage.,HIGH
There is an issue with broken lock in the laundry room.,HIGH
Noticed maintenance required in the garage.,MEDIUM
We have a problem: dripping tap in the garage.,MEDIUM
There is mold on the wall in the laundry room.,MEDIUM
Tenant reports burning smell in the unit.,EMERGENCY
Need help with thermostat not working in the unit 8.,MEDIUM
We have a problem: routine check in the bedroom.,LOW
Please attend to damaged in the store room.,MEDIUM
Noticed electrical fire in the laundry room.,EMERGENCY
Please attend to ceiling collapse in the unit.,EMERGENCY
We have a problem: dripping tap in the apartment 5.,MEDIUM
Tenant reports cracked tile in the lobby.,MEDIUM
There is exposed electrical wires near the entrance.,EMERGENCY
There is the ceiling is caving in in the living room.,EMERGENCY
Need help with broken door on the third floor.,HIGH
Please attend to mold on the wall on the third floor.,MEDIUM
Tenant reports pipe burst by the stairs.,EMERGENCY
We have a problem: damaged in the kitchen.,MEDIUM
There is slow drain in the block A.,MEDIUM
There is electrical spark in the laundry room.,EMERGENCY
Need help with booking an appointment in the hallway.,LOW
Need help with routine check on the third floor.,LOW
Need help with the unit is burning near the entrance.,EMERGENCY
Please attend to dripping tap in the laundry room.,MEDIUM
We have a problem: broken window in the hallway.,HIGH
Reporting cosmetic touch up from in the bathroom.,LOW
There is electrical danger on the third floor.,HIGH
We have a problem: shock from the outlet by the stairs.,HIGH
There is an issue with shock from the outlet on the third floor.,HIGH
Please attend to inventory check in the unit.,LOW
We have a problem: dripping tap near the entrance.,MEDIUM
Please attend to broken lock near the entrance.,HIGH
There is an issue with paint peeling in the unit.,LOW
not working has been going on by the stairs.,MEDIUM
Reporting broken door from in the hallway.,HIGH
There is an issue with intruder in the building by the stairs.,HIGH
electrical fire has been going on by the stairs.,EMERGENCY
Reporting leaking ceiling from on the third floor.,HIGH
leak under the sink has been going on in the apartment 5.,MEDIUM
Tenant reports not cooling in the unit.,MEDIUM
Complaint: burst pipe near the entrance.,EMERGENCY
There is an issue with power outage in the bathroom.,HIGH
There is lightbulb needs replacing near the entrance.,LOW
There is broken lock by the stairs.,HIGH
There is an issue with clogged drain by the stairs.,MEDIUM
There is an issue with lightbulb needs replacing in the block B.,LOW
Noticed broken door in the unit 8.,HIGH
Need help with damaged on the third floor.,MEDIUM
There is leak under the sink in the unit.,MEDIUM
We have a problem: not cooling in the unit 12.,MEDIUM
Noticed exposed wiring in the living room.,EMERGENCY
Noticed not cooling in the hallway.,MEDIUM
There is tiny crack in the paint in the unit.,LOW
There is stained carpet in the hallway.,MEDIUM
Tenant reports slow drain in the hallway.,MEDIUM
Complaint: not working on the third floor.,MEDIUM
There is an issue with collapsing wall in the lobby.,EMERGENCY
Noticed smelling gas in the living room.,EMERGENCY
the unit is burning has been going on in the unit.,EMERGENCY
There is an issue with seeking a quote in the garage.,LOW
There is sparks flying in the store room.,EMERGENCY
We have a problem: no water in in the living room.,HIGH
crack in the wall has been going on by the stairs.,MEDIUM
We have a problem: mold on the wall in the store room.,MEDIUM
Need help with no water in in the living room.,HIGH
Need help with water flooding in the store room.,EMERGENCY
Reporting minor cosmetic issue from by the stairs.,LOW
Noticed cosmetic touch up in the unit 12.,LOW
Please attend to not heating near the entrance.,MEDIUM
Complaint: exposed electrical wires in the lobby.,EMERGENCY
Noticed not cooling in the kitchen.,MEDIUM
Need help with dripping tap in the living room.,MEDIUM
Need help with stained carpet near the entrance.,MEDIUM
We have a problem: slow drain near the entrance.,MEDIUM
Reporting paint peeling from near the entrance.,LOW
Reporting intruder in the building from in the living room.,HIGH
We have a problem: unsafe on the third floor.,HIGH
not cooling has been going on in the store room.,MEDIUM
Tenant reports cracked tile in the block B.,MEDIUM
We have a problem: not cooling in the garage.,MEDIUM
We have a problem: leak under the sink in the unit.,MEDIUM
Reporting routine check from on the third floor.,LOW
We have a problem: stained carpet in the unit.,MEDIUM
Noticed not working in the unit 8.,MEDIUM
Complaint: dripping tap near the entrance.,MEDIUM
Tenant reports smoke in in the unit.,EMERGENCY
annual inspection has been going on in the unit.,LOW
Tenant reports tiny crack in the paint near the entrance.,LOW
There is gas leak near the entrance.,EMERGENCY
fridge broke down has been going on in the bathroom.,HIGH
Reporting sewer backing up into from in the lobby.,EMERGENCY
routine tune up has been going on near the entrance.,LOW
Tenant reports gas leak in the apartment 5.,EMERGENCY
We have a problem: maintenance required by the stairs.,MEDIUM
Please attend to inventory check near the entrance.,LOW
Reporting shock from the outlet from in the kitchen.,HIGH
There is an issue with sparks flying by the stairs.,EMERGENCY
Noticed booking an appointment in the bathroom.,LOW
Need help with no electricity in the block A.,HIGH
There is electrical hazard in the block B.,HIGH
Reporting stained carpet from in the unit 8.,MEDIUM
Please attend to minor cosmetic issue by the stairs.,LOW
Need help with mold on the wall in the bathroom.,MEDIUM
Please attend to broken window by the stairs.,HIGH
Tenant reports minor cosmetic issue in the unit.,LOW
There is an issue with water damage to the ceiling in the bedroom.,HIGH
Noticed collapsing wall in the bedroom.,EMERGENCY
Tenant reports heavy leak in the kitchen.,HIGH
Reporting mold on the wall from in the unit 12.,MEDIUM
There is lightbulb needs replacing in the bathroom.,LOW
We have a problem: stained carpet near the entrance.,MEDIUM
Need help with toilet clogged in the unit.,MEDIUM
Complaint: shattered window on the third floor.,HIGH
There is an issue with unsafe in the unit.,HIGH
We have a problem: cosmetic touch up in the block B.,LOW
Please attend to minor cosmetic issue on the third floor.,LOW
Tenant reports seeking a quote near the entrance.,LOW
We have a problem: exposed wires in the living room.,EMERGENCY
Need help with preventative maintenance in the kitchen.,LOW
Tenant reports electrical danger near the entrance.,HIGH
Noticed clogged drain in the block A.,MEDIUM
There is stained carpet in the unit 8.,MEDIUM
Need help with general enquiry in the unit.,LOW
Please attend to seeking a quote in the unit 12.,LOW
We have a problem: annual inspection in the bathroom.,LOW
light not working has been going on in the unit.,MEDIUM
We have a problem: shock from the outlet in the hallway.,HIGH
We have a problem: small leak in the store room.,MEDIUM
There is fridge broke down by the stairs.,HIGH
There is scorched outlet in the block A.,EMERGENCY
Need help with fridge broke down in the balcony.,HIGH
Please attend to slow drain on the third floor.,MEDIUM
Complaint: scheduling a service on the third floor.,LOW
Complaint: seeking a quote in the store room.,LOW
Tenant reports not heating in the block B.,MEDIUM
Need help with structural collapse in the living room.,EMERGENCY
Noticed gas smell in the bedroom.,EMERGENCY
